run_id,population,attack_mode,relock_rate,relock_time,quality_score,locked_fraction,drop_rate,quality_class
1,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
1,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
1,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
1,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
1,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
2,A,block_3,1.0,10.0,0.493791088385683,0.7027027027027027,0.2972972972972973,fragile
2,A,block_5,1.0,10.0,0.48225308641975306,0.6944444444444444,0.3055555555555556,fragile
2,A,block_10,1.0,10.0,0.4576124567474049,0.6764705882352942,0.3235294117647059,fragile
2,A,block_15,1.0,10.0,0.4162330905306972,0.6451612903225806,0.3548387096774194,fragile
2,A,block_20,1.0,10.0,0.38525564803804996,0.6206896551724138,0.3793103448275862,fragile
3,A,block_3,1.0,10.0,0.4011111111111111,0.6333333333333333,0.36666666666666664,fragile
3,A,block_5,1.0,10.0,0.38525564803804996,0.6206896551724138,0.3793103448275862,fragile
3,A,block_10,1.0,10.0,0.3511659807956104,0.5925925925925926,0.4074074074074074,fragile
3,A,block_15,1.0,10.0,0.2934027777777778,0.5416666666666666,0.4583333333333333,collapse
3,A,block_20,1.0,10.0,0.25,0.5,0.5,collapse
4,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
4,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
4,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
4,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
4,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
5,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
5,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
5,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
5,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
5,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
6,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
6,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
6,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
6,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
6,A,block_20,0.0,,0.0,0.0,1.0,collapse
7,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
7,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
7,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
7,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
7,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
8,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
8,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
8,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
8,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
8,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
9,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
9,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
9,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
9,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
9,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
10,A,block_3,1.0,10.0,0.7825443786982248,0.8846153846153846,0.11538461538461539,stable
10,A,block_5,1.0,10.0,0.7744,0.88,0.12,stable
10,A,block_10,1.0,10.0,0.7561436672967864,0.8695652173913043,0.13043478260869565,stable
10,A,block_15,1.0,10.0,0.7224999999999999,0.85,0.15,stable
10,A,block_20,1.0,10.0,0.6944444444444445,0.8333333333333334,0.16666666666666666,fragile
11,A,block_3,1.0,10.0,0.4792899408284023,0.6923076923076923,0.3076923076923077,fragile
11,A,block_5,1.0,10.0,0.46814404432132967,0.6842105263157895,0.3157894736842105,fragile
11,A,block_10,1.0,10.0,0.4444444444444445,0.6666666666666666,0.3333333333333333,fragile
11,A,block_15,1.0,10.0,0.4049586776859504,0.6363636363636364,0.36363636363636365,fragile
11,A,block_20,1.0,22.0,1.0,1.0,0.0,stable
12,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
12,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
12,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
12,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
12,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
13,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
13,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
13,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
13,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
13,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
14,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
14,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
14,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
14,A,block_15,0.0,,0.0,0.0,1.0,collapse
14,A,block_20,0.0,,0.0,0.0,1.0,collapse
15,B,block_3,1.0,10.0,0.08566329565734683,0.2926829268292683,0.7073170731707317,collapse
15,B,block_5,1.0,10.0,0.07562500000000001,0.275,0.725,collapse
15,B,block_10,1.0,10.0,0.04674945215485757,0.21621621621621623,0.7837837837837838,collapse
15,B,block_15,1.0,10.0,0.029387755102040808,0.17142857142857143,0.8285714285714286,collapse
15,B,block_20,1.0,20.0,0.018595041322314047,0.13636363636363635,0.8636363636363636,collapse
