subset_size,subset_id,variables,normal_mass,f13_mass,delta_mass,retention_ratio
5,60,"xmeas_12,xmeas_24,xmeas_41,xmeas_6,xmeas_7",0.13141961190354304,0.1369099490187734,0.005490337115230365,1.0417771513058671
5,61,"xmeas_27,xmeas_3,xmeas_35,xmeas_7,xmeas_8",0.14110580751992,0.1652293531473988,0.024123545627478815,1.1709606849950325
5,62,"xmeas_14,xmeas_16,xmeas_26,xmeas_31,xmeas_34",0.15672660349148365,0.17254640926425624,0.015819805772772588,1.1009388662183208
5,63,"xmeas_2,xmeas_21,xmeas_30,xmeas_33,xmeas_41",0.1449785730672083,0.14786647232086128,0.002887899253652987,1.019919489415324
5,64,"xmeas_10,xmeas_18,xmeas_23,xmeas_25,xmeas_38",0.14976808071336364,0.1602812633277802,0.010513182614416555,1.0701964160675714
5,65,"xmeas_20,xmeas_35,xmeas_39,xmeas_4,xmeas_5",0.1306177899368019,0.14765756066121277,0.017039770724410874,1.1304552053714112
5,66,"xmeas_27,xmeas_34,xmeas_35,xmeas_4,xmeas_41",0.15326349012883678,0.16588008026844842,0.012616590139611639,1.0823196054113988
5,67,"xmeas_12,xmeas_23,xmeas_26,xmeas_31,xmeas_32",0.16939079084018435,0.16245878928838609,-0.006932001551798267,0.959076868268204
5,68,"xmeas_13,xmeas_21,xmeas_22,xmeas_32,xmeas_5",0.13074429991851907,0.2373591789316037,0.10661487901308461,1.8154457127231038
5,69,"xmeas_11,xmeas_15,xmeas_26,xmeas_27,xmeas_30",0.15451531416704994,0.1567554911285103,0.002240176961460366,1.0144980895394526
5,70,"xmeas_10,xmeas_17,xmeas_18,xmeas_25,xmeas_7",0.13638043030268765,0.663605064709028,0.5272246344063404,4.8658378826758
5,71,"xmeas_13,xmeas_16,xmeas_17,xmeas_28,xmeas_8",0.1292583455766784,0.16979895658686417,0.04054061101018577,1.3136401808173563
5,72,"xmeas_20,xmeas_26,xmeas_35,xmeas_36,xmeas_39",0.1529601172462035,0.16488111772649014,0.011921000480286631,1.0779353506463722
5,73,"xmeas_20,xmeas_27,xmeas_33,xmeas_36,xmeas_9",0.15202137061462861,0.18024147679193486,0.028220106177306248,1.1856324932780697
5,74,"xmeas_12,xmeas_24,xmeas_3,xmeas_31,xmeas_8",0.14588750957117033,0.15723640691741958,0.011348897346249248,1.0777921103172547
5,75,"xmeas_19,xmeas_33,xmeas_36,xmeas_40,xmeas_6",0.13856671522895597,0.1413368618504526,0.002770146621496633,1.0199914280635167
5,76,"xmeas_21,xmeas_23,xmeas_27,xmeas_39,xmeas_4",0.1396118182920384,0.1476995652588531,0.008087746966814718,1.057930245160935
5,77,"xmeas_16,xmeas_19,xmeas_24,xmeas_31,xmeas_7",0.13827083023067005,0.2781963767282042,0.13992554649753414,2.0119672100247525
5,78,"xmeas_10,xmeas_25,xmeas_29,xmeas_36,xmeas_4",0.16841252670329576,0.17790085347035203,0.009488326767056271,1.056339791624518
5,79,"xmeas_1,xmeas_23,xmeas_38,xmeas_6,xmeas_7",0.12932251315598384,0.19779960290113544,0.0684770897451516,1.5295063320460416
5,80,"xmeas_20,xmeas_28,xmeas_30,xmeas_33,xmeas_37",0.1551027105443407,0.1834047908498123,0.0283020803054716,1.1824731501332035
