fault_number,W,S,typical_mass,max_stationary_occupancy,stationary_entropy_norm,typical_edge_count,typical_edge_entropy,self_loop_mass,cycle_mass,dominant_pair,taxonomy_class
0,150,5,0.8,0.22344456058738232,0.9291591545699304,18,0.8114290403219627,0.7499044790008591,0.2500955209991409,XMEAS8-XMEAS9,partial_locking
4,150,5,0.8,0.19095827019403153,0.9440829522230614,18,0.8158707040934075,0.7608697359318656,0.23913026406813442,XMEAS8-XMEAS9,partial_locking
6,150,5,0.8,0.9973657885961988,0.009984509029329812,1,0.0,0.997132377459153,0.002867622540847048,XMEAS7-XMEAS11,single_edge_attractor
8,150,5,0.8,0.995558165786071,0.015542369766882738,1,0.0,0.9972756284263372,0.002724371573662787,XMEAS7-XMEAS11,single_edge_attractor
12,150,5,0.8,0.6560131159312999,0.40911297676456726,2,0.8652397292201887,0.9421070046244349,0.05789299537556514,XMEAS9-XMEAS11,single_edge_attractor
13,150,5,0.8,0.9798642212418395,0.059552985120767794,1,0.0,0.9917648823233227,0.008235117676677284,XMEAS7-XMEAS11,single_edge_attractor
14,150,5,0.8,0.9973128584019355,0.009809265523656498,1,0.0,0.9981061376648775,0.0018938623351224537,XMEAS7-XMEAS11,single_edge_attractor
15,150,5,0.8,0.22193379907084418,0.940740338239711,18,0.8185851513091094,0.751097843975588,0.248902156024412,XMEAS8-XMEAS9,partial_locking
16,150,5,0.8,0.21867545182392176,0.9443366118567801,18,0.8217350679635843,0.7502642037687511,0.24973579623124886,XMEAS8-XMEAS9,partial_locking
17,150,5,0.8,0.5122025691164748,0.36867235576678353,2,0.9976911780354412,0.9270299526991371,0.07297004730086287,XMEAS7-XMEAS11,single_edge_attractor
18,150,5,0.8,0.7479022600890628,0.32160714038199745,2,0.7504521102422911,0.9592995392040484,0.040700460795951576,XMEAS7-XMEAS11,single_edge_attractor
0,150,5,0.9,0.22344456058738232,0.9291591545699304,43,0.7414322567194039,0.7499044790008591,0.2500955209991409,XMEAS8-XMEAS9,diffuse_wandering
4,150,5,0.9,0.19095827019403153,0.9440829522230614,43,0.7436600602242328,0.7608697359318656,0.23913026406813442,XMEAS8-XMEAS9,diffuse_wandering
6,150,5,0.9,0.9973657885961988,0.009984509029329812,1,0.0,0.997132377459153,0.002867622540847048,XMEAS7-XMEAS11,single_edge_attractor
8,150,5,0.9,0.995558165786071,0.015542369766882738,1,0.0,0.9972756284263372,0.002724371573662787,XMEAS7-XMEAS11,single_edge_attractor
12,150,5,0.9,0.6560131159312999,0.40911297676456726,3,0.6212751782650344,0.9421070046244349,0.05789299537556514,XMEAS9-XMEAS11,metastable_basin
13,150,5,0.9,0.9798642212418395,0.059552985120767794,1,0.0,0.9917648823233227,0.008235117676677284,XMEAS7-XMEAS11,single_edge_attractor
14,150,5,0.9,0.9973128584019355,0.009809265523656498,1,0.0,0.9981061376648775,0.0018938623351224537,XMEAS7-XMEAS11,single_edge_attractor
15,150,5,0.9,0.22193379907084418,0.940740338239711,45,0.739860210216342,0.751097843975588,0.248902156024412,XMEAS8-XMEAS9,diffuse_wandering
16,150,5,0.9,0.21867545182392176,0.9443366118567801,44,0.7461346631817073,0.7502642037687511,0.24973579623124886,XMEAS8-XMEAS9,diffuse_wandering
17,150,5,0.9,0.5122025691164748,0.36867235576678353,2,0.9976911780354412,0.9270299526991371,0.07297004730086287,XMEAS7-XMEAS11,single_edge_attractor
18,150,5,0.9,0.7479022600890628,0.32160714038199745,2,0.7504521102422911,0.9592995392040484,0.040700460795951576,XMEAS7-XMEAS11,single_edge_attractor
0,150,10,0.75,0.22367459861220879,0.9286710304725524,21,0.826697373888037,0.6529765859068485,0.3470234140931515,XMEAS8-XMEAS9,diffuse_wandering
4,150,10,0.75,0.18983190172026973,0.9441718538765834,22,0.8276165926536893,0.6606829405489865,0.33931705945101354,XMEAS8-XMEAS9,diffuse_wandering
6,150,10,0.75,0.9985257121216216,0.00559463953155504,1,0.0,0.9981064192387805,0.0018935807612194822,XMEAS7-XMEAS11,single_edge_attractor
8,150,10,0.75,0.9971374867869557,0.010568659888956746,1,0.0,0.9973192200143128,0.002680779985687165,XMEAS7-XMEAS11,single_edge_attractor
12,150,10,0.75,0.6571381596602807,0.3995409801568127,2,0.8661329572033558,0.9158206055387281,0.08417939446127187,XMEAS9-XMEAS11,single_edge_attractor
13,150,10,0.75,0.9827274645931026,0.05241548224419815,1,0.0,0.9887331342775323,0.011266865722467712,XMEAS7-XMEAS11,single_edge_attractor
14,150,10,0.75,0.9985883945088155,0.005388196332602645,1,0.0,0.998556685002385,0.001443314997614964,XMEAS7-XMEAS11,single_edge_attractor
15,150,10,0.75,0.22072550488465004,0.9406015033711874,22,0.8257060168928122,0.6550422703282999,0.34495772967170013,XMEAS8-XMEAS9,diffuse_wandering
16,150,10,0.75,0.2183603922259035,0.944616828893597,22,0.8300957976774094,0.6535913677830898,0.3464086322169102,XMEAS8-XMEAS9,diffuse_wandering
17,150,10,0.75,0.5235365868356399,0.35356651697008085,2,0.9958099455653178,0.8901241949442729,0.10987580505572714,XMEAS7-XMEAS11,metastable_basin
18,150,10,0.75,0.7599071242271066,0.2986460399946106,2,0.7304304763999212,0.9387857939231109,0.0612142060768891,XMEAS7-XMEAS11,single_edge_attractor
0,150,10,0.8,0.22367459861220879,0.9286710304725524,30,0.8053334415961704,0.6529765859068485,0.3470234140931515,XMEAS8-XMEAS9,diffuse_wandering
4,150,10,0.8,0.18983190172026973,0.9441718538765834,30,0.8101363727342114,0.6606829405489865,0.33931705945101354,XMEAS8-XMEAS9,diffuse_wandering
6,150,10,0.8,0.9985257121216216,0.00559463953155504,1,0.0,0.9981064192387805,0.0018935807612194822,XMEAS7-XMEAS11,single_edge_attractor
8,150,10,0.8,0.9971374867869557,0.010568659888956746,1,0.0,0.9973192200143128,0.002680779985687165,XMEAS7-XMEAS11,single_edge_attractor
12,150,10,0.8,0.6571381596602807,0.3995409801568127,2,0.8661329572033558,0.9158206055387281,0.08417939446127187,XMEAS9-XMEAS11,single_edge_attractor
13,150,10,0.8,0.9827274645931026,0.05241548224419815,1,0.0,0.9887331342775323,0.011266865722467712,XMEAS7-XMEAS11,single_edge_attractor
14,150,10,0.8,0.9985883945088155,0.005388196332602645,1,0.0,0.998556685002385,0.001443314997614964,XMEAS7-XMEAS11,single_edge_attractor
15,150,10,0.8,0.22072550488465004,0.9406015033711874,30,0.8089677671613948,0.6550422703282999,0.34495772967170013,XMEAS8-XMEAS9,diffuse_wandering
